feature,importance,group,target,horizon
c_food_price_index_yoy,0.0015474026,Autoregressive,c_food_price_index,3
LST_Lh3,0.0015440774,Vegetation,c_food_price_index,3
NDVI_Lh3,0.0015168686,Vegetation,c_food_price_index,3
Rainf_f_3mon_Z_Lh3,0.0014163802,FLDAS,c_food_price_index,3
Qs_3mon_Z_Lh3,0.0013961735,FLDAS,c_food_price_index,3
Qsb_3mon_Z_Lh3,0.0011278111,FLDAS,c_food_price_index,3
population,0.00092538673,Static,c_food_price_index,3
admin2,0.0008942177,Spatial ID,c_food_price_index,3
Water_Balance_3mon_Z_Lh3,0.0008868273,FLDAS,c_food_price_index,3
conflict_events_Lh3,0.0008255731,Conflict,c_food_price_index,3
conflict_fatalities_Lh3,0.00064233725,Conflict,c_food_price_index,3
c_maize_fao_lag_1,0.6953183,Autoregressive,c_maize_fao,1
c_maize_fao_s1_rmean3,0.26842684,Autoregressive,c_maize_fao,1
c_maize_fao_lag_2,0.009552595,Autoregressive,c_maize_fao,1
country_iso,0.0071257143,Spatial ID,c_maize_fao,1
MEI_v2_Lh1,0.0015628709,Climate Index,c_maize_fao,1
month_sin,0.0013217559,Temporal,c_maize_fao,1
month_cos,0.0011059712,Temporal,c_maize_fao,1
NINO34_Anom_Lh1,0.0009872443,Climate Index,c_maize_fao,1
IOD_DMI_Lh1,0.0009721143,Climate Index,c_maize_fao,1
c_maize_fao_s2_rmean3,0.00097068684,Autoregressive,c_maize_fao,1
Western_V_Gradient_Lh1,0.0008624828,Climate Index,c_maize_fao,1
c_maize_fao_lag_3,0.0007829856,Autoregressive,c_maize_fao,1
c_maize_fao_s3_rstd12,0.0007292057,Autoregressive,c_maize_fao,1
c_maize_fao_s3_rmean3,0.00072912645,Autoregressive,c_maize_fao,1
c_maize_fao_s2_rmean12,0.0007265645,Autoregressive,c_maize_fao,1
c_maize_fao_s3_rmean12,0.0006650793,Autoregressive,c_maize_fao,1
c_maize_fao_lag_12,0.00064713036,Autoregressive,c_maize_fao,1
c_maize_fao_s1_rmean12,0.0005564448,Autoregressive,c_maize_fao,1
c_maize_fao_s2_rstd12,0.00052954286,Autoregressive,c_maize_fao,1
SoilMoi00_10cm_3mon_Z_Lh1,0.0005076098,FLDAS,c_maize_fao,1
c_maize_fao_lag_6,0.0004656998,Autoregressive,c_maize_fao,1
Rainf_f_3mon_Z_Lh1,0.00046482444,FLDAS,c_maize_fao,1
Tair_f_3mon_Z_Lh1,0.00046333118,FLDAS,c_maize_fao,1
c_maize_fao_s1_rstd12,0.00041610075,Autoregressive,c_maize_fao,1
Qs_3mon_Z_Lh1,0.00038484985,FLDAS,c_maize_fao,1
SoilMoi10_40cm_3mon_Z_Lh1,0.00036296595,FLDAS,c_maize_fao,1
LST_Lh1,0.00034463324,Vegetation,c_maize_fao,1
Evap_3mon_Z_Lh1,0.00034288276,FLDAS,c_maize_fao,1
crop_cover_fraction,0.00034060903,Static,c_maize_fao,1
VHI_Lh1,0.00032320633,Vegetation,c_maize_fao,1
NDVI_Lh1,0.00031138855,Vegetation,c_maize_fao,1
c_maize_fao_yoy,0.00031026002,Autoregressive,c_maize_fao,1
Water_Balance_3mon_Z_Lh1,0.00030862694,FLDAS,c_maize_fao,1
Qsb_3mon_Z_Lh1,0.00024447098,FLDAS,c_maize_fao,1
population,0.00023749388,Static,c_maize_fao,1
admin2,0.00021109376,Spatial ID,c_maize_fao,1
conflict_events_Lh1,0.00020364884,Conflict,c_maize_fao,1
conflict_fatalities_Lh1,0.00018374913,Conflict,c_maize_fao,1
c_maize_fao_lag_2,0.6622075,Autoregressive,c_maize_fao,2
c_maize_fao_lag_3,0.15177123,Autoregressive,c_maize_fao,2
c_maize_fao_s2_rmean3,0.11477888,Autoregressive,c_maize_fao,2
country_iso,0.03525808,Spatial ID,c_maize_fao,2
month_sin,0.0033593157,Temporal,c_maize_fao,2
MEI_v2_Lh2,0.0028101124,Climate Index,c_maize_fao,2
NINO34_Anom_Lh2,0.0022214386,Climate Index,c_maize_fao,2
month_cos,0.0020726908,Temporal,c_maize_fao,2
Western_V_Gradient_Lh2,0.0019800959,Climate Index,c_maize_fao,2
c_maize_fao_s3_rmean12,0.0019550242,Autoregressive,c_maize_fao,2
IOD_DMI_Lh2,0.0019344972,Climate Index,c_maize_fao,2
c_maize_fao_lag_12,0.0018238568,Autoregressive,c_maize_fao,2
c_maize_fao_s2_rmean12,0.0018162606,Autoregressive,c_maize_fao,2
SoilMoi00_10cm_3mon_Z_Lh2,0.0014372164,FLDAS,c_maize_fao,2
c_maize_fao_s3_rstd12,0.0014144598,Autoregressive,c_maize_fao,2
c_maize_fao_lag_6,0.0011161176,Autoregressive,c_maize_fao,2
Rainf_f_3mon_Z_Lh2,0.001076914,FLDAS,c_maize_fao,2
c_maize_fao_s3_rmean3,0.0010451688,Autoregressive,c_maize_fao,2
Tair_f_3mon_Z_Lh2,0.0009957389,FLDAS,c_maize_fao,2
c_maize_fao_s2_rstd12,0.00095712516,Autoregressive,c_maize_fao,2
SoilMoi10_40cm_3mon_Z_Lh2,0.0008340269,FLDAS,c_maize_fao,2
LST_Lh2,0.0007410762,Vegetation,c_maize_fao,2
Evap_3mon_Z_Lh2,0.00071622856,FLDAS,c_maize_fao,2
crop_cover_fraction,0.0006970797,Static,c_maize_fao,2
Qs_3mon_Z_Lh2,0.00065986207,FLDAS,c_maize_fao,2
VHI_Lh2,0.0006554385,Vegetation,c_maize_fao,2
NDVI_Lh2,0.0006154256,Vegetation,c_maize_fao,2
population,0.0004970185,Static,c_maize_fao,2
Water_Balance_3mon_Z_Lh2,0.00048267638,FLDAS,c_maize_fao,2
c_maize_fao_yoy,0.00047129026,Autoregressive,c_maize_fao,2
Qsb_3mon_Z_Lh2,0.0004626365,FLDAS,c_maize_fao,2
admin2,0.00044588163,Spatial ID,c_maize_fao,2
conflict_fatalities_Lh2,0.0003473248,Conflict,c_maize_fao,2
conflict_events_Lh2,0.000342299,Conflict,c_maize_fao,2
c_maize_fao_lag_3,0.5081875,Autoregressive,c_maize_fao,3
c_maize_fao_s3_rmean3,0.27033237,Autoregressive,c_maize_fao,3
c_maize_fao_s3_rmean12,0.09544288,Autoregressive,c_maize_fao,3
country_iso,0.0683965,Spatial ID,c_maize_fao,3
c_maize_fao_lag_6,0.007907835,Autoregressive,c_maize_fao,3
month_cos,0.004099249,Temporal,c_maize_fao,3
month_sin,0.003798554,Temporal,c_maize_fao,3
MEI_v2_Lh3,0.0037750823,Climate Index,c_maize_fao,3
SoilMoi00_10cm_3mon_Z_Lh3,0.0032413222,FLDAS,c_maize_fao,3
NINO34_Anom_Lh3,0.0030991666,Climate Index,c_maize_fao,3
Western_V_Gradient_Lh3,0.003080657,Climate Index,c_maize_fao,3
IOD_DMI_Lh3,0.002652377,Climate Index,c_maize_fao,3
VHI_Lh3,0.002517564,Vegetation,c_maize_fao,3
c_maize_fao_lag_12,0.0025107544,Autoregressive,c_maize_fao,3
Tair_f_3mon_Z_Lh3,0.0024428181,FLDAS,c_maize_fao,3
c_maize_fao_s3_rstd12,0.002353919,Autoregressive,c_maize_fao,3
Rainf_f_3mon_Z_Lh3,0.0019314851,FLDAS,c_maize_fao,3
Evap_3mon_Z_Lh3,0.0018467194,FLDAS,c_maize_fao,3
SoilMoi10_40cm_3mon_Z_Lh3,0.0015977124,FLDAS,c_maize_fao,3
LST_Lh3,0.0013792156,Vegetation,c_maize_fao,3
population,0.0012410915,Static,c_maize_fao,3
crop_cover_fraction,0.0012006271,Static,c_maize_fao,3
admin2,0.0011349444,Spatial ID,c_maize_fao,3
Qs_3mon_Z_Lh3,0.001131848,FLDAS,c_maize_fao,3
NDVI_Lh3,0.00095894135,Vegetation,c_maize_fao,3
c_maize_fao_yoy,0.0009547353,Autoregressive,c_maize_fao,3
Qsb_3mon_Z_Lh3,0.0008419281,FLDAS,c_maize_fao,3
Water_Balance_3mon_Z_Lh3,0.0008047695,FLDAS,c_maize_fao,3
conflict_events_Lh3,0.00068280497,Conflict,c_maize_fao,3
conflict_fatalities_Lh3,0.0004545671,Conflict,c_maize_fao,3
c_sorghum_lag_1,0.6885624,Autoregressive,c_sorghum,1
c_sorghum_s1_rmean3,0.23385704,Autoregressive,c_sorghum,1
c_sorghum_lag_2,0.02044758,Autoregressive,c_sorghum,1
c_sorghum_s2_rmean3,0.0058171893,Autoregressive,c_sorghum,1
c_sorghum_s3_rmean12,0.00324518,Autoregressive,c_sorghum,1
c_sorghum_s3_rmean3,0.0031119366,Autoregressive,c_sorghum,1
c_sorghum_s1_rmean12,0.0027859423,Autoregressive,c_sorghum,1
c_sorghum_s3_rstd12,0.002390945,Autoregressive,c_sorghum,1
Western_V_Gradient_Lh1,0.0020525944,Climate Index,c_sorghum,1
c_sorghum_lag_6,0.0018694181,Autoregressive,c_sorghum,1
Rainf_f_3mon_Z_Lh1,0.001861635,FLDAS,c_sorghum,1
NINO34_Anom_Lh1,0.0018120916,Climate Index,c_sorghum,1
MEI_v2_Lh1,0.0017214919,Climate Index,c_sorghum,1
IOD_DMI_Lh1,0.0017047734,Climate Index,c_sorghum,1
c_sorghum_lag_12,0.0017044493,Autoregressive,c_sorghum,1
month_sin,0.001686509,Temporal,c_sorghum,1
month_cos,0.0016414922,Temporal,c_sorghum,1
SoilMoi00_10cm_3mon_Z_Lh1,0.0016404964,FLDAS,c_sorghum,1
Evap_3mon_Z_Lh1,0.0015035106,FLDAS,c_sorghum,1
Qs_3mon_Z_Lh1,0.0013916551,FLDAS,c_sorghum,1
Qsb_3mon_Z_Lh1,0.0013576146,FLDAS,c_sorghum,1
NDVI_Lh1,0.001327424,Vegetation,c_sorghum,1
LST_Lh1,0.0012791053,Vegetation,c_sorghum,1
c_sorghum_s2_rmean12,0.0012764074,Autoregressive,c_sorghum,1
Tair_f_3mon_Z_Lh1,0.0012556689,FLDAS,c_sorghum,1
c_sorghum_s2_rstd12,0.0012145848,Autoregressive,c_sorghum,1
c_sorghum_lag_3,0.0012084407,Autoregressive,c_sorghum,1
VHI_Lh1,0.0011917704,Vegetation,c_sorghum,1
c_sorghum_s1_rstd12,0.0011556329,Autoregressive,c_sorghum,1
crop_cover_fraction,0.0011196173,Static,c_sorghum,1
SoilMoi10_40cm_3mon_Z_Lh1,0.001104372,FLDAS,c_sorghum,1
population,0.0009915989,Static,c_sorghum,1
Water_Balance_3mon_Z_Lh1,0.0009850676,FLDAS,c_sorghum,1
c_sorghum_yoy,0.0009822181,Autoregressive,c_sorghum,1
admin2,0.00091891777,Spatial ID,c_sorghum,1
conflict_events_Lh1,0.00064036145,Conflict,c_sorghum,1
conflict_fatalities_Lh1,0.0006272348,Conflict,c_sorghum,1
country_iso,0.0005556868,Spatial ID,c_sorghum,1
c_sorghum_lag_2,0.6501565,Autoregressive,c_sorghum,2
c_sorghum_s2_rmean3,0.13484621,Autoregressive,c_sorghum,2
c_sorghum_lag_3,0.12851259,Autoregressive,c_sorghum,2
c_sorghum_s2_rmean12,0.005796203,Autoregressive,c_sorghum,2
c_sorghum_s3_rmean12,0.0057474864,Autoregressive,c_sorghum,2
c_sorghum_s3_rmean3,0.0056260303,Autoregressive,c_sorghum,2
c_sorghum_s3_rstd12,0.005118229,Autoregressive,c_sorghum,2
NINO34_Anom_Lh2,0.004169116,Climate Index,c_sorghum,2
Rainf_f_3mon_Z_Lh2,0.0037664368,FLDAS,c_sorghum,2
month_cos,0.0036611836,Temporal,c_sorghum,2
c_sorghum_lag_12,0.0035195656,Autoregressive,c_sorghum,2
SoilMoi00_10cm_3mon_Z_Lh2,0.003420868,FLDAS,c_sorghum,2
MEI_v2_Lh2,0.0033119407,Climate Index,c_sorghum,2
c_sorghum_lag_6,0.0032139772,Autoregressive,c_sorghum,2
IOD_DMI_Lh2,0.0031570797,Climate Index,c_sorghum,2
Western_V_Gradient_Lh2,0.00294932,Climate Index,c_sorghum,2
SoilMoi10_40cm_3mon_Z_Lh2,0.002553177,FLDAS,c_sorghum,2
Tair_f_3mon_Z_Lh2,0.0023879015,FLDAS,c_sorghum,2
c_sorghum_s2_rstd12,0.0023836775,Autoregressive,c_sorghum,2
crop_cover_fraction,0.0023075037,Static,c_sorghum,2
month_sin,0.002301636,Temporal,c_sorghum,2
NDVI_Lh2,0.0020410712,Vegetation,c_sorghum,2
Qsb_3mon_Z_Lh2,0.001998479,FLDAS,c_sorghum,2
Evap_3mon_Z_Lh2,0.0018115132,FLDAS,c_sorghum,2
c_sorghum_yoy,0.0018081232,Autoregressive,c_sorghum,2
country_iso,0.001715417,Spatial ID,c_sorghum,2
VHI_Lh2,0.0016981346,Vegetation,c_sorghum,2
Qs_3mon_Z_Lh2,0.0016203967,FLDAS,c_sorghum,2
Water_Balance_3mon_Z_Lh2,0.0016188973,FLDAS,c_sorghum,2
LST_Lh2,0.0015602096,Vegetation,c_sorghum,2
population,0.0015517606,Static,c_sorghum,2
admin2,0.0015157114,Spatial ID,c_sorghum,2
conflict_events_Lh2,0.0011232788,Conflict,c_sorghum,2
conflict_fatalities_Lh2,0.001030451,Conflict,c_sorghum,2
c_sorghum_lag_3,0.58935606,Autoregressive,c_sorghum,3
c_sorghum_s3_rmean3,0.22713777,Autoregressive,c_sorghum,3
c_sorghum_lag_6,0.05361441,Autoregressive,c_sorghum,3
c_sorghum_s3_rmean12,0.024070447,Autoregressive,c_sorghum,3
month_cos,0.008143981,Temporal,c_sorghum,3
NINO34_Anom_Lh3,0.007469846,Climate Index,c_sorghum,3
c_sorghum_s3_rstd12,0.0073794955,Autoregressive,c_sorghum,3
MEI_v2_Lh3,0.007063091,Climate Index,c_sorghum,3
Western_V_Gradient_Lh3,0.0064935843,Climate Index,c_sorghum,3
Rainf_f_3mon_Z_Lh3,0.006152545,FLDAS,c_sorghum,3
SoilMoi00_10cm_3mon_Z_Lh3,0.0059468783,FLDAS,c_sorghum,3
IOD_DMI_Lh3,0.0054045143,Climate Index,c_sorghum,3
c_sorghum_lag_12,0.005064514,Autoregressive,c_sorghum,3
month_sin,0.0039330847,Temporal,c_sorghum,3
Tair_f_3mon_Z_Lh3,0.0037078555,FLDAS,c_sorghum,3
Evap_3mon_Z_Lh3,0.0036384074,FLDAS,c_sorghum,3
SoilMoi10_40cm_3mon_Z_Lh3,0.0035033382,FLDAS,c_sorghum,3
country_iso,0.0033271026,Spatial ID,c_sorghum,3
Qsb_3mon_Z_Lh3,0.0030703081,FLDAS,c_sorghum,3
NDVI_Lh3,0.0028268623,Vegetation,c_sorghum,3
crop_cover_fraction,0.0028169325,Static,c_sorghum,3
c_sorghum_yoy,0.0026209853,Autoregressive,c_sorghum,3
LST_Lh3,0.0025953061,Vegetation,c_sorghum,3
admin2,0.0024414656,Spatial ID,c_sorghum,3
population,0.0023573174,Static,c_sorghum,3
VHI_Lh3,0.0023062285,Vegetation,c_sorghum,3
Qs_3mon_Z_Lh3,0.0021800732,FLDAS,c_sorghum,3
Water_Balance_3mon_Z_Lh3,0.002053999,FLDAS,c_sorghum,3
conflict_events_Lh3,0.0017004603,Conflict,c_sorghum,3
conflict_fatalities_Lh3,0.0016230935,Conflict,c_sorghum,3
